id,name,created_at,keywords
021f05f4-2474-4230-866a-e55318de6606,Owoce,2025-12-03 15:22:23.065745+00,"[""jabłko"",""banan"",""pomarańcza"",""winogrono"",""truskawka"",""jagoda"",""borówka"",""mango"",""gruszka"",""brzoskwinia"",""arbuz"",""cytryna"",""limonka"",""wiśnia"",""czereśnia"",""kiwi"",""ananas"",""maliny"",""pomarańcze"",""cytryny"",""liczi"",""smoczy owoc"",""mandarynki"",""winogrona"",""owoce na kompot z suszu"",""imbir"",""borówki"",""jabłka"",""rabarbar"",""truskawki"",""jeżyny""]"
0369e193-dbd7-482a-91a2-fb598b3692d1,Pieczywo,2025-12-03 15:22:23.065745+00,"[""chleb"",""bułka"",""bagietka"",""croissant"",""rogal"",""bajgiel"",""muffin"",""pączek"",""drożdżówka"",""bułki"",""pieczywo"",""tortilla"",""bagietki"",""awokado"",""bulka"",""chleb tostowy"",""chleb żytni"",""chleb pszenny"",""pizza"",""cebularz"",""brioszka"",""pita"",""brioszki""]"
140f4432-7e25-4f29-bcd1-7bbfa997eabf,Elektronika,2026-01-07 12:08:32.729056+00,"[""baterie"",""żarówki""]"
2842167d-5c44-4142-a54d-df681faed285,Odzież,2025-12-05 17:26:12.996883+00,"[""spodnie"",""bluza"",""sweter"",""koszula"",""rajstopy"",""tshirt"",""spodenki"",""strój kąpielowy n"",""kapelusz"",""feta""]"
291a6061-b0ba-474b-8783-a43c8d535890,Obuwie,2026-01-07 10:30:26.965166+00,"[""ciapy"",""buty""]"
2e74a37b-bd2b-40cc-8bf6-77cbb0fd5597,Alkohol,2025-12-05 17:33:18.332784+00,"[""wino"",""piwo"",""whisky"",""wódka"",""szampan"",""cognac"",""brandy"",""rum"",""tequila"",""cydr"",""likier pomarańczowy"",""amaretto"",""miradore""]"
3deba2ba-4549-495a-b404-47a4629c6ad9,Przekąski i słodycze,2025-12-03 15:22:23.065745+00,"[""chipsy"",""ciastka"",""krakersy"",""popcorn"",""precelki"",""orzechy"",""cukierki"",""czekolada"",""batonik"",""slodycze"",""żelki"",""pistacje"",""kulki bonitki"",""nutella"",""biszkopty"",""daim"",""ciasteczka owsiane""]"
513846e9-bfcf-46fc-9492-e33089de65e7,Art. gosp. domowego,2025-12-03 15:22:23.065745+00,"[""mydło"",""proszek"",""detergent"",""środek czyszczący"",""ręcznik papierowy"",""papier toaletowy"",""chusteczki"",""worek na śmieci"",""gąbka"",""ręczniki papierowe"",""worki na śmieci"",""kieliszki"",""patelnia grill"",""płyn do płukania"",""nabłyszczacz"",""płyn do prania"",""persil"",""kostki wc"",""czajnik"",""płyn do kurzu"",""zapach do wc"",""miska"",""rękawiczki"",""płyn do naczyń frosch"",""ściereczki do zlewu"",""wkladki"",""farba do włosów"",""maszynki"",""kostki do zmywarki"",""płyn do naczyń"",""ręcznik""]"
526e8192-2521-49b4-bfba-4a3d15a42055,Higiena osobista,2025-12-03 15:22:23.065745+00,"[""szampon"",""pasta do zębów"",""dezodorant"",""maszynka"",""żyletka"",""balsam"",""mydło"",""krem"",""papier"",""patyczki"",""waciki"",""pasta do zebow"",""wkładki"",""biały jeleń"",""filtr przeciwsłoneczny"",""filtr do twarzy"",""pianka pod prysznic rit"",""pilnik do paznokci"",""gąbeczki"",""tusz to rzęs gosh"",""pianka rit"",""płyn micelarny"",""odżywka"",""zmywacz"",""pumeks"",""hedenshoulders""]"
661ed7d6-13c9-4976-a0a0-4c80b49890e2,Zwierzęta,2025-12-06 10:58:02.667466+00,"[""żwirek"",""karma"",""puszki"",""szaszetki"",""smaczki""]"
6c0211e8-c271-46b4-85d0-0a78177c2aac,Nabiał,2025-12-03 15:22:23.065745+00,"[""mleko"",""ser"",""jogurt"",""masło"",""śmietana"",""kefir"",""twaróg"",""lody"",""jajka"",""drożdże"",""finu"",""cheddar"",""finnu"",""mozarella galbani"",""mozarella"",""gorgonzola picante"",""śmietanka 30"",""śmietanka"",""gouda"",""maslo"",""ricotta"",""halumi"",""oscypek"",""chedar"",""feta"",""parmezan"",""mascarpone""]"
6c25b718-8547-4a29-9b36-6387b4ac0c6f,Napoje,2025-12-03 15:22:23.065745+00,"[""woda"",""sok"",""napój"",""kawa"",""herbata"",""mleko"",""cola"",""fanta"",""syrop"",""rumianek""]"
